order_id,customer_id,order_date,product_id,product_name,product_price,quantity
order-86987-Q4W6FL,Customer_8,2023-08-05,PROD-22372-K04JUM,Onion Powder,47.39,2
order-64532-49BMR9,Customer_22,2024-05-23,PROD-07044-C7ZUO1,Sole - Fillet,61.2,2
order-49608-Z8MIPJ,Customer_23,2023-12-25,PROD-98653-BBZ430,Artichoke - Fresh,97.92,1
order-77776-6B5VPO,Customer_55,2023-12-18,PROD-87506-V8MFDO,"Soup - Knorr, Ministrone",16.88,1
order-49294-ZKXTEM,Customer_44,2024-04-19,PROD-45878-087IDD,"Clams - Littleneck, Whole",61.01,3
order-10305-0N0HYD,Customer_43,2024-01-12,PROD-03977-S1HZ6B,Pie Shell - 5,32.67,2
order-34921-6U708B,Customer_2,2023-10-23,PROD-22372-K04JUM,Onion Powder,35.69,1
order-33041-SI57U3,Customer_10,2024-05-12,PROD-55844-OY7490,Venison - Denver Leg Boneless,65.14,5
order-05441-N1UDJ7,Customer_19,2023-11-12,PROD-03977-S1HZ6B,Pie Shell - 5,48.68,3
order-20576-I2FQ3I,Customer_84,2023-08-31,PROD-19756-FN378E,Roe - Flying Fish,27.41,5
order-27514-XZXID6,Customer_86,2023-12-15,PROD-74821-4KNUA6,"Beef - Tongue, Cooked",76.67,3
order-39891-WJPZ04,Customer_47,2024-06-02,PROD-33428-NUNI88,Cheese - Pied De Vents,73.19,4
order-15714-XHW6SM,Customer_92,2023-09-07,PROD-45878-087IDD,"Clams - Littleneck, Whole",23.69,2
order-35810-SDCS9Q,Customer_46,2024-04-10,PROD-56388-2OET3Y,Calvados - Boulard,98.66,4
order-46781-J90RRC,Customer_55,2023-09-11,PROD-55844-OY7490,Venison - Denver Leg Boneless,56.58,1
order-37931-32MSPZ,Customer_4,2023-11-17,PROD-56388-2OET3Y,Calvados - Boulard,9.66,1
order-76191-GDSM4E,Customer_47,2024-07-16,PROD-33110-3UMYM9,Pork Loin Bine - In Frenched,77.39,1
